price,area,floor_number,bedroom_number,is_dinning_room,is_kitchen,is_terrace,is_car_pack,type,direction,street_in_front_of_house,width,city,district
11.0,56.0,5.0,7.0,True,True,True,True,Nhà mặt tiền,None,7.0,4.0,Hà Nội,Nội thành
8.2,65.0,5.0,7.0,True,True,True,True,Nhà mặt tiền,Bắc,12.0,3.6,Hồ Chí Minh,Nội thành
4.8,72.0,2.0,4.0,True,True,True,True,Nhà mặt tiền,None,6.0,4.0,Hồ Chí Minh,Nội thành
4.67,68.0,3.0,4.0,True,True,True,True,Nhà mặt tiền,None,5.0,5.0,Hồ Chí Minh,Nội thành
15.0,86.0,5.0,4.0,True,True,True,True,Nhà trong hẻm,None,7.0,5.0,Hà Nội,Nội thành
5.6,42.0,5.0,3.0,False,False,False,False,Nhà trong hẻm,None,4.0,6.0,Hồ Chí Minh,Nội thành
8.0,50.0,5.0,5.0,True,True,True,True,Nhà mặt tiền,None,15.0,4.447257932086094,Hà Nội,Ngoại thành
7.8,70.0,2.0,3.0,True,True,True,True,Nhà trong hẻm,None,6.0,4.0,Hồ Chí Minh,Nội thành
7.75,45.0,5.0,3.0,True,True,True,True,Nhà trong hẻm,None,7.0,6.0,Hà Nội,Nội thành
1.45,64.0,1.0,2.0,True,True,False,False,Nhà mặt tiền,None,6.0,4.0,Hồ Chí Minh,Nội thành
5.1,42.0,5.0,6.0,True,True,True,False,Nhà trong hẻm,None,3.0,4.4,Hà Nội,Nội thành
1.45,60.0,1.0,3.0,True,True,False,False,Nhà mặt tiền,None,6.0,5.0,Hồ Chí Minh,Nội thành
13.7,84.0,4.0,4.0,False,False,False,False,Nhà mặt tiền,None,8.0,4.2,Hồ Chí Minh,Nội thành
3.75,90.0,2.0,4.0,True,True,True,True,Nhà mặt tiền,None,5.0,5.0,Hồ Chí Minh,Nội thành
3.65,90.0,2.0,4.0,True,True,True,True,Nhà mặt tiền,None,8.0,5.0,Hồ Chí Minh,Nội thành
4.2,86.0,4.0,4.0,True,True,True,True,Nhà mặt tiền,None,6.0,5.4,Hồ Chí Minh,Nội thành
3.599,68.0,2.0,3.0,True,True,True,True,Nhà mặt tiền,None,6.0,4.5,Hồ Chí Minh,Nội thành
3.55,90.0,2.0,4.0,True,True,True,True,Nhà mặt tiền,None,8.0,5.0,Hồ Chí Minh,Nội thành
8.8,53.0,5.0,4.0,True,True,True,True,Nhà trong hẻm,Tây Nam,4.0,4.0,Hà Nội,Nội thành
4.299,72.0,2.0,4.0,True,True,True,True,Nhà mặt tiền,None,6.0,4.5,Hồ Chí Minh,Nội thành
1.15,68.0,1.0,2.0,False,False,False,False,Nhà mặt tiền,Đông Nam,6.0,5.0,Hồ Chí Minh,Nội thành
2.3,30.0,3.0,2.0,False,False,False,False,Nhà mặt tiền,None,7.0,4.447257932086094,Hồ Chí Minh,Ngoại thành
3.25,80.0,2.0,4.0,True,True,True,False,Nhà mặt tiền,None,6.0,5.0,Hồ Chí Minh,Nội thành
12.8,55.0,5.0,6.0,True,True,True,True,Nhà trong hẻm,None,8.0,4.0,Hồ Chí Minh,Nội thành
1.12,72.0,1.0,2.0,False,False,False,False,Nhà mặt tiền,Đông Nam,12.0,4.5,Hồ Chí Minh,Nội thành
5.7,50.0,4.0,4.0,True,True,True,False,Nhà trong hẻm,None,3.0,3.2,Hà Nội,Nội thành
